kafka-exporter  | 2025-10-12T12:01:57.585021322Z I1012 12:01:57.583846       1 kafka_exporter.go:847] Starting kafka_exporter (version=1.9.0, branch=master, revision=18b18d5e798095722c9189bc27db3842fab31a98)
kafka                   | 2025-10-12T12:01:45.340479019Z [2025-10-12 12:01:45,339] INFO Client environment:java.library.path=/usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340485962Z [2025-10-12 12:01:45,339] INFO Client environment:java.io.tmpdir=/tmp (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340490129Z [2025-10-12 12:01:45,339] INFO Client environment:java.compiler=<NA> (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340494267Z [2025-10-12 12:01:45,339] INFO Client environment:os.name=Linux (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340498124Z [2025-10-12 12:01:45,339] INFO Client environment:os.arch=amd64 (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340501831Z [2025-10-12 12:01:45,340] INFO Client environment:os.version=6.8.0-1030-azure (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340505348Z [2025-10-12 12:01:45,340] INFO Client environment:user.name=appuser (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340509025Z [2025-10-12 12:01:45,340] INFO Client environment:user.home=/home/appuser (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340512812Z [2025-10-12 12:01:45,340] INFO Client environment:user.dir=/home/appuser (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340958454Z [2025-10-12 12:01:45,340] INFO Client environment:os.memory.free=241MB (org.apache.zookeeper.ZooKeeper)
kafka-setup             | 2025-10-12T12:01:56.776442357Z Creating Kafka topics...
kafka                   | 2025-10-12T12:01:45.340970166Z [2025-10-12 12:01:45,340] INFO Client environment:os.memory.max=4000MB (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:45.340974885Z [2025-10-12 12:01:45,340] INFO Client environment:os.memory.total=250MB (org.apache.zookeeper.ZooKeeper)
zookeeper               | 2025-10-12T12:01:35.339941026Z ===> User
kafka                   | 2025-10-12T12:01:45.366755647Z [2025-10-12 12:01:45,366] INFO Initiating client connection, connectString=zookeeper:2181 sessionTimeout=40000 watcher=io.confluent.admin.utils.ZookeeperConnectionWatcher@646be2c3 (org.apache.zookeeper.ZooKeeper)
zookeeper               | 2025-10-12T12:01:35.349946436Z uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka                   | 2025-10-12T12:01:45.468600675Z [2025-10-12 12:01:45,466] INFO Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation (org.apache.zookeeper.common.X509Util)
kafka                   | 2025-10-12T12:01:45.541730224Z [2025-10-12 12:01:45,541] INFO jute.maxbuffer value is 1048575 Bytes (org.apache.zookeeper.ClientCnxnSocket)
kafka                   | 2025-10-12T12:01:45.637272540Z [2025-10-12 12:01:45,632] INFO zookeeper.request.timeout value is 0. feature enabled=false (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:45.858764272Z [2025-10-12 12:01:45,855] INFO Opening socket connection to server zookeeper/172.18.0.4:2181. (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:45.858786263Z [2025-10-12 12:01:45,858] INFO SASL config status: Will not attempt to authenticate using SASL (unknown error) (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:45.949005591Z [2025-10-12 12:01:45,909] WARN Session 0x0 for sever zookeeper/172.18.0.4:2181, Closing socket connection. Attempting reconnect except it is a SessionExpiredException. (org.apache.zookeeper.ClientCnxn)
postgres-exporter       | 2025-10-12T12:01:46.115645178Z time=2025-10-12T12:01:46.113Z level=WARN source=main.go:98 msg="The extended queries.yaml config is DEPRECATED" file=/etc/postgres_exporter/queries.yaml
postgres-exporter       | 2025-10-12T12:01:46.118534202Z time=2025-10-12T12:01:46.116Z level=INFO source=tls_config.go:346 msg="Listening on" address=[::]:9187
postgres-exporter       | 2025-10-12T12:01:46.118642454Z time=2025-10-12T12:01:46.118Z level=INFO source=tls_config.go:349 msg="TLS is disabled." http2=false address=[::]:9187
postgres-exporter       | 2025-10-12T12:02:01.010373363Z time=2025-10-12T12:02:01.009Z level=INFO source=server.go:73 msg="Established new database connection" fingerprint=postgres:5432
postgres-exporter       | 2025-10-12T12:02:01.045138268Z time=2025-10-12T12:02:01.044Z level=INFO source=postgres_exporter.go:615 msg="Semantic version changed" server=postgres:5432 from=0.0.0 to=15.14.0
postgres-exporter       | 2025-10-12T12:02:01.098525819Z time=2025-10-12T12:02:01.098Z level=INFO source=namespace.go:235 msg="error finding namespace" err="Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries"
postgres-exporter       | 2025-10-12T12:02:01.207467241Z time=2025-10-12T12:02:01.207Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="queryNamespaceMappings errors encountered, namespace: pg_slow_queries error: Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries" dsn="postgresql://pizza_user:PASSWORD_REMOVED@postgres:5432/pizza_system?sslmode=disable"
payment-service         | 2025-10-12T12:04:41.148371500Z 🍕 ЗАКАЗ ПИЦЦЫ: Критическая ошибка при асинхронной обработке платежа
postgres-exporter       | 2025-10-12T12:02:31.020657509Z time=2025-10-12T12:02:31.020Z level=INFO source=namespace.go:235 msg="error finding namespace" err="Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries"
payment-service         | 2025-10-12T12:04:41.150020053Z Failed to publish payment failure event
zookeeper               | 2025-10-12T12:01:35.349962325Z ===> Configuring ...
payment-service         | 2025-10-12T12:04:41.152982314Z PaymentFailed routed to DLQ
zookeeper               | 2025-10-12T12:01:40.506459288Z ===> Running preflight checks ... 
payment-service         | 2025-10-12T12:04:45.152023704Z 📨 payment-service вычитал сообщение из топика
zookeeper               | 2025-10-12T12:01:40.518223801Z ===> Check if /var/lib/zookeeper/data is writable ...
payment-service         | 2025-10-12T12:04:45.160469074Z 💳 payment-service отправил на оплату
zookeeper               | 2025-10-12T12:01:41.233787182Z ===> Check if /var/lib/zookeeper/log is writable ...
payment-service         | 2025-10-12T12:04:46.153827958Z 🍕 ЗАКАЗ ПИЦЦЫ: Критическая ошибка при асинхронной обработке платежа
zookeeper               | 2025-10-12T12:01:41.803479065Z ===> Launching ... 
zookeeper               | 2025-10-12T12:01:41.825614946Z ===> Launching zookeeper ... 
zookeeper               | 2025-10-12T12:01:45.545610208Z [2025-10-12 12:01:45,543] INFO Reading configuration from: /etc/kafka/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.583991709Z [2025-10-12 12:01:45,578] INFO clientPortAddress is 0.0.0.0:2181 (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.584003791Z [2025-10-12 12:01:45,578] INFO secureClientPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.584007839Z [2025-10-12 12:01:45,578] INFO observerMasterPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.584011666Z [2025-10-12 12:01:45,578] INFO metricsProvider.className is org.apache.zookeeper.metrics.impl.DefaultMetricsProvider (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.584015593Z [2025-10-12 12:01:45,582] INFO autopurge.snapRetainCount set to 3 (org.apache.zookeeper.server.DatadirCleanupManager)
zookeeper               | 2025-10-12T12:01:45.584019260Z [2025-10-12 12:01:45,583] INFO autopurge.purgeInterval set to 0 (org.apache.zookeeper.server.DatadirCleanupManager)
zookeeper               | 2025-10-12T12:01:45.584022616Z [2025-10-12 12:01:45,583] INFO Purge task is not scheduled. (org.apache.zookeeper.server.DatadirCleanupManager)
zookeeper               | 2025-10-12T12:01:45.584026203Z [2025-10-12 12:01:45,583] WARN Either no config or no quorum defined in config, running in standalone mode (org.apache.zookeeper.server.quorum.QuorumPeerMain)
zookeeper               | 2025-10-12T12:01:45.588016623Z [2025-10-12 12:01:45,587] INFO Log4j 1.2 jmx support not found; jmx disabled. (org.apache.zookeeper.jmx.ManagedUtil)
zookeeper               | 2025-10-12T12:01:45.591246393Z [2025-10-12 12:01:45,590] INFO Reading configuration from: /etc/kafka/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.591276750Z [2025-10-12 12:01:45,591] INFO clientPortAddress is 0.0.0.0:2181 (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.591972439Z [2025-10-12 12:01:45,591] INFO secureClientPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.595956337Z [2025-10-12 12:01:45,591] INFO observerMasterPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.595967908Z [2025-10-12 12:01:45,592] INFO metricsProvider.className is org.apache.zookeeper.metrics.impl.DefaultMetricsProvider (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper               | 2025-10-12T12:01:45.597929100Z [2025-10-12 12:01:45,594] INFO Starting server (org.apache.zookeeper.server.ZooKeeperServerMain)
zookeeper               | 2025-10-12T12:01:45.644803340Z [2025-10-12 12:01:45,643] INFO ServerMetrics initialized with provider org.apache.zookeeper.metrics.impl.DefaultMetricsProvider@5f683daf (org.apache.zookeeper.server.ServerMetrics)
zookeeper               | 2025-10-12T12:01:45.671975132Z [2025-10-12 12:01:45,654] INFO zookeeper.snapshot.trust.empty : false (org.apache.zookeeper.server.persistence.FileTxnSnapLog)
zookeeper               | 2025-10-12T12:01:45.706779797Z [2025-10-12 12:01:45,706] INFO  (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.707911660Z [2025-10-12 12:01:45,706] INFO   ______                  _                                           (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.707927069Z [2025-10-12 12:01:45,706] INFO  |___  /                 | |                                          (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.707931808Z [2025-10-12 12:01:45,707] INFO     / /    ___     ___   | | __   ___    ___   _ __     ___   _ __    (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.707935545Z [2025-10-12 12:01:45,707] INFO    / /    / _ \   / _ \  | |/ /  / _ \  / _ \ | '_ \   / _ \ | '__| (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.707940193Z [2025-10-12 12:01:45,707] INFO   / /__  | (_) | | (_) | |   <  |  __/ |  __/ | |_) | |  __/ | |     (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.708324693Z [2025-10-12 12:01:45,707] INFO  /_____|  \___/   \___/  |_|\_\  \___|  \___| | .__/   \___| |_| (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.708336575Z [2025-10-12 12:01:45,707] INFO                                               | |                      (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.708341254Z [2025-10-12 12:01:45,707] INFO                                               |_|                      (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.708360089Z [2025-10-12 12:01:45,707] INFO  (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.715171266Z [2025-10-12 12:01:45,712] INFO Server environment:zookeeper.version=3.6.4--d65253dcf68e9097c6e95a126463fd5fdeb4521c, built on 12/18/2022 18:10 GMT (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.715208716Z [2025-10-12 12:01:45,715] INFO Server environment:host.name=887c3cc2282d (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.715232550Z [2025-10-12 12:01:45,715] INFO Server environment:java.version=11.0.18 (org.apache.zookeeper.server.ZooKeeperServer)
zookeeper               | 2025-10-12T12:01:45.717680490Z [2025-10-12 12:01:45,715] INFO Server environment:java.vendor=Azul Systems, Inc. (org.apache.zookeeper.server.ZooKeeperServer)
kafka-setup             | 2025-10-12T12:02:09.168671924Z Created topic notification-events.
postgres-exporter       | 2025-10-12T12:02:31.027332383Z time=2025-10-12T12:02:31.027Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="queryNamespaceMappings errors encountered, namespace: pg_slow_queries error: Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries" dsn="postgresql://pizza_user:PASSWORD_REMOVED@postgres:5432/pizza_system?sslmode=disable"
order-outbox-processor  | 2025-10-12T12:02:49.994772448Z 🍕 ЗАКАЗ ПИЦЦЫ: Событие успешно отправлено в Kafka и помечено как обработанное
zookeeper               | 2025-10-12T12:01:45.717703022Z [2025-10-12 12:01:45,715] INFO Server environment:java.home=/usr/lib/jvm/zulu11-ca (org.apache.zookeeper.server.ZooKeeperServer)
postgres-exporter       | 2025-10-12T12:03:01.014043507Z time=2025-10-12T12:03:01.013Z level=INFO source=namespace.go:235 msg="error finding namespace" err="Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries"
postgres-exporter       | 2025-10-12T12:03:01.022886056Z time=2025-10-12T12:03:01.022Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="queryNamespaceMappings errors encountered, namespace: pg_slow_queries error: Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries" dsn="postgresql://pizza_user:PASSWORD_REMOVED@postgres:5432/pizza_system?sslmode=disable"
kafka                   | 2025-10-12T12:01:45.949032582Z java.net.ConnectException: Connection refused
postgres-exporter       | 2025-10-12T12:03:31.022808067Z time=2025-10-12T12:03:31.022Z level=INFO source=namespace.go:235 msg="error finding namespace" err="Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries"
kafka                   | 2025-10-12T12:01:45.949037391Z 	at java.base/sun.nio.ch.SocketChannelImpl.checkConnect(Native Method)
zookeeper               | 2025-10-12T12:01:45.717711779Z [2025-10-12 12:01:45,716] INFO Server environment:java.class.path=/usr/bin/../share/java/kafka/netty-handler-4.1.92.Final.jar:/usr/bin/../share/java/kafka/jetty-continuation-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/swagger-annotations-2.2.0.jar:/usr/bin/../share/java/kafka/javax.activation-api-1.2.0.jar:/usr/bin/../share/java/kafka/scala-library-2.13.10.jar:/usr/bin/../share/java/kafka/netty-codec-4.1.92.Final.jar:/usr/bin/../share/java/kafka/snappy-java-1.1.10.1.jar:/usr/bin/../share/java/kafka/jetty-security-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/kafka-storage-api-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/scala-java8-compat_2.13-1.0.2.jar:/usr/bin/../share/java/kafka/javax.annotation-api-1.3.2.jar:/usr/bin/../share/java/kafka/jose4j-0.9.3.jar:/usr/bin/../share/java/kafka/kafka-server-common-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/hk2-locator-2.6.1.jar:/usr/bin/../share/java/kafka/jakarta.validation-api-2.0.2.jar:/usr/bin/../share/java/kafka/jetty-servlets-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/lz4-java-1.8.0.jar:/usr/bin/../share/java/kafka/argparse4j-0.7.0.jar:/usr/bin/../share/java/kafka/kafka.jar:/usr/bin/../share/java/kafka/slf4j-api-1.7.36.jar:/usr/bin/../share/java/kafka/jackson-core-2.13.5.jar:/usr/bin/../share/java/kafka/jetty-client-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/connect-transforms-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jetty-io-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/jetty-http-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/slf4j-reload4j-1.7.36.jar:/usr/bin/../share/java/kafka/jersey-server-2.39.1.jar:/usr/bin/../share/java/kafka/jackson-datatype-jdk8-2.13.5.jar:/usr/bin/../share/java/kafka/kafka-raft-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/netty-transport-4.1.92.Final.jar:/usr/bin/../share/java/kafka/javax.ws.rs-api-2.1.1.jar:/usr/bin/../share/java/kafka/connect-mirror-client-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jersey-hk2-2.39.1.jar:/usr/bin/../share/java/kafka/reflections-0.9.12.jar:/usr/bin/../share/java/kafka/jaxb-api-2.3.1.jar:/usr/bin/../share/java/kafka/jakarta.annotation-api-1.3.5.jar:/usr/bin/../share/java/kafka/jackson-dataformat-csv-2.13.5.jar:/usr/bin/../share/java/kafka/jackson-annotations-2.13.5.jar:/usr/bin/../share/java/kafka/kafka-group-coordinator-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/audience-annotations-0.13.0.jar:/usr/bin/../share/java/kafka/kafka-streams-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/metrics-core-2.2.0.jar:/usr/bin/../share/java/kafka/hk2-api-2.6.1.jar:/usr/bin/../share/java/kafka/connect-mirror-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/netty-resolver-4.1.92.Final.jar:/usr/bin/../share/java/kafka/zookeeper-jute-3.6.4.jar:/usr/bin/../share/java/kafka/kafka-streams-test-utils-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/netty-transport-native-unix-common-4.1.92.Final.jar:/usr/bin/../share/java/kafka/paranamer-2.8.jar:/usr/bin/../share/java/kafka/hk2-utils-2.6.1.jar:/usr/bin/../share/java/kafka/jersey-container-servlet-2.39.1.jar:/usr/bin/../share/java/kafka/jackson-module-scala_2.13-2.13.5.jar:/usr/bin/../share/java/kafka/jackson-jaxrs-base-2.13.5.jar:/usr/bin/../share/java/kafka/kafka_2.13-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/commons-lang3-3.8.1.jar:/usr/bin/../share/java/kafka/connect-runtime-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/netty-transport-classes-epoll-4.1.92.Final.jar:/usr/bin/../share/java/kafka/kafka-clients-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/javassist-3.29.2-GA.jar:/usr/bin/../share/java/kafka/scala-reflect-2.13.10.jar:/usr/bin/../share/java/kafka/metrics-core-4.1.12.1.jar:/usr/bin/../share/java/kafka/kafka-log4j-appender-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jersey-common-2.39.1.jar:/usr/bin/../share/java/kafka/jackson-module-jaxb-annotations-2.13.5.jar:/usr/bin/../share/java/kafka/maven-artifact-3.8.4.jar:/usr/bin/../share/java/kafka/jersey-client-2.39.1.jar:/usr/bin/../share/java/kafka/connect-json-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/netty-buffer-4.1.92.Final.jar:/usr/bin/../share/java/kafka/zookeeper-3.6.4.jar:/usr/bin/../share/java/kafka/reload4j-1.2.25.jar:/usr/bin/../share/java/kafka/zstd-jni-1.5.2-1.jar:/usr/bin/../share/java/kafka/jakarta.ws.rs-api-2.1.6.jar:/usr/bin/../share/java/kafka/jetty-servlet-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/trogdor-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jetty-util-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/kafka-streams-scala_2.13-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jackson-databind-2.13.5.jar:/usr/bin/../share/java/kafka/scala-collection-compat_2.13-2.10.0.jar:/usr/bin/../share/java/kafka/commons-cli-1.4.jar:/usr/bin/../share/java/kafka/plexus-utils-3.3.0.jar:/usr/bin/../share/java/kafka/jackson-jaxrs-json-provider-2.13.5.jar:/usr/bin/../share/java/kafka/connect-basic-auth-extension-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/scala-logging_2.13-3.9.4.jar:/usr/bin/../share/java/kafka/kafka-shell-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jetty-util-ajax-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/jline-3.22.0.jar:/usr/bin/../share/java/kafka/jakarta.inject-2.6.1.jar:/usr/bin/../share/java/kafka/jakarta.xml.bind-api-2.3.3.jar:/usr/bin/../share/java/kafka/kafka-streams-examples-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/activation-1.1.1.jar:/usr/bin/../share/java/kafka/osgi-resource-locator-1.0.3.jar:/usr/bin/../share/java/kafka/kafka-tools-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jopt-simple-5.0.4.jar:/usr/bin/../share/java/kafka/javax.servlet-api-3.1.0.jar:/usr/bin/../share/java/kafka/rocksdbjni-7.1.2.jar:/usr/bin/../share/java/kafka/netty-transport-native-epoll-4.1.92.Final.jar:/usr/bin/../share/java/kafka/kafka-storage-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jetty-server-9.4.51.v20230217.jar:/usr/bin/../share/java/kafka/connect-api-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jersey-container-servlet-core-2.39.1.jar:/usr/bin/../share/java/kafka/netty-common-4.1.92.Final.jar:/usr/bin/../share/java/kafka/aopalliance-repackaged-2.6.1.jar:/usr/bin/../share/java/kafka/kafka-metadata-7.4.1-ccs.jar:/usr/bin/../share/java/kafka/jakarta.activation-api-1.2.2.jar:/usr/bin/../share/java/confluent-telemetry/* (org.apache.zookeeper.server.ZooKeeperServer)
kafka                   | 2025-10-12T12:01:45.949041338Z 	at java.base/sun.nio.ch.SocketChannelImpl.finishConnect(SocketChannelImpl.java:777)
kafka                   | 2025-10-12T12:01:45.949045115Z 	at org.apache.zookeeper.ClientCnxnSocketNIO.doTransport(ClientCnxnSocketNIO.java:344)
kafka                   | 2025-10-12T12:01:45.949048682Z 	at org.apache.zookeeper.ClientCnxn$SendThread.run(ClientCnxn.java:1290)
kafka                   | 2025-10-12T12:01:47.059438661Z [2025-10-12 12:01:47,059] INFO Opening socket connection to server zookeeper/172.18.0.4:2181. (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:47.059520313Z [2025-10-12 12:01:47,059] INFO SASL config status: Will not attempt to authenticate using SASL (unknown error) (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:47.061488818Z [2025-10-12 12:01:47,061] INFO Socket connection established, initiating session, client: /172.18.0.9:56316, server: zookeeper/172.18.0.4:2181 (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:47.192665659Z [2025-10-12 12:01:47,192] INFO Session establishment complete on server zookeeper/172.18.0.4:2181, session id = 0x1000008b4dc0000, negotiated timeout = 40000 (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:47.209997447Z [2025-10-12 12:01:47,207] WARN An exception was thrown while closing send thread for session 0x1000008b4dc0000. (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:47.210006123Z EndOfStreamException: Unable to read additional data from server sessionid 0x1000008b4dc0000, likely server has closed socket
kafka                   | 2025-10-12T12:01:47.210009790Z 	at org.apache.zookeeper.ClientCnxnSocketNIO.doIO(ClientCnxnSocketNIO.java:77)
kafka                   | 2025-10-12T12:01:47.210013297Z 	at org.apache.zookeeper.ClientCnxnSocketNIO.doTransport(ClientCnxnSocketNIO.java:350)
kafka                   | 2025-10-12T12:01:47.210016563Z 	at org.apache.zookeeper.ClientCnxn$SendThread.run(ClientCnxn.java:1290)
kafka                   | 2025-10-12T12:01:47.314365180Z [2025-10-12 12:01:47,313] INFO Session: 0x1000008b4dc0000 closed (org.apache.zookeeper.ZooKeeper)
kafka                   | 2025-10-12T12:01:47.315119839Z [2025-10-12 12:01:47,314] INFO EventThread shut down for session: 0x1000008b4dc0000 (org.apache.zookeeper.ClientCnxn)
kafka                   | 2025-10-12T12:01:47.326739199Z Using log4j config /etc/kafka/log4j.properties
postgres-exporter       | 2025-10-12T12:03:31.024742010Z time=2025-10-12T12:03:31.023Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="queryNamespaceMappings errors encountered, namespace: pg_slow_queries error: Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries" dsn="postgresql://pizza_user:PASSWORD_REMOVED@postgres:5432/pizza_system?sslmode=disable"
postgres-exporter       | 2025-10-12T12:04:01.021256181Z time=2025-10-12T12:04:01.021Z level=INFO source=namespace.go:235 msg="error finding namespace" err="Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries"
postgres-exporter       | 2025-10-12T12:04:01.024849369Z time=2025-10-12T12:04:01.024Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="queryNamespaceMappings errors encountered, namespace: pg_slow_queries error: Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries" dsn="postgresql://pizza_user:PASSWORD_REMOVED@postgres:5432/pizza_system?sslmode=disable"
postgres-exporter       | 2025-10-12T12:04:31.017823634Z time=2025-10-12T12:04:31.017Z level=INFO source=namespace.go:235 msg="error finding namespace" err="Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries"
postgres-exporter       | 2025-10-12T12:04:31.019383518Z time=2025-10-12T12:04:31.018Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="queryNamespaceMappings errors encountered, namespace: pg_slow_queries error: Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries" dsn="postgresql://pizza_user:PASSWORD_REMOVED@postgres:5432/pizza_system?sslmode=disable"
postgres-exporter       | 2025-10-12T12:05:01.020758617Z time=2025-10-12T12:05:01.020Z level=INFO source=namespace.go:235 msg="error finding namespace" err="Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries"
postgres-exporter       | 2025-10-12T12:05:01.024199220Z time=2025-10-12T12:05:01.024Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="queryNamespaceMappings errors encountered, namespace: pg_slow_queries error: Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries" dsn="postgresql://pizza_user:PASSWORD_REMOVED@postgres:5432/pizza_system?sslmode=disable"
postgres-exporter       | 2025-10-12T12:05:31.013048752Z time=2025-10-12T12:05:31.012Z level=INFO source=namespace.go:235 msg="error finding namespace" err="Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries"
postgres-exporter       | 2025-10-12T12:05:31.021989035Z time=2025-10-12T12:05:31.021Z level=ERROR source=postgres_exporter.go:684 msg="error scraping dsn" err="queryNamespaceMappings errors encountered, namespace: pg_slow_queries error: Error running query on database \"postgres:5432\": pg_slow_queries pq: pg_stat_statements must be loaded via shared_preload_libraries" dsn="postgresql://pizza_user:PASSWORD_REMOVED@postgres:5432/pizza_system?sslmode=disable"
zookeeper               | 2025-10-12T12:01:45.717744420Z [2025-10-12 12:01:45,716] INFO Server environment:java.library.path=/usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib (org.apache.zookeeper.server.ZooKeeperServer)
